prolific_participant_id,workerid,proliferate.condition,YOB,age,comments,enjoyment,equipment_model,equipment_type,fairprice,gender,impairment,interaction_10,interaction_20,interaction_30,interaction_40,interaction_50,interaction_60,language,language_other,language_parents,error
312,492,condition1,1992,32,,1,에어팟 프로,earphone,1,Female,0,0,0,80,0,18,2,서울말,"영어(고급), 중국어(중급)",서울말,
313,421,condition1,1994,30,,-1,,earphone,-1,Female,0,0,5,60,0,30,5,서울,"영어(중금), 일본어(기초)",부모님 서울말,
314,457,condition1,1992,32,,1,,speaker,1,Male,0,0,20,50,20,5,5,서울말,영어(중급),서울말,
401,545,condition1,1979,46,,-1,SHOKX,earphone,-1,Male,0,20,10,25,25,10,10,서울말,영어 (고급),서울말,
403,610,condition1,1976,49,,1,,laptop_speaker,1,Female,2,0,25,10,20,35,10,서울말,영어(중급),서울말,
404,593,condition1,1985,40,,-1,,earphone,-1,Female,0,50,0,0,50,0,0,서울말,영어 (고급),"어머니 서울말, 아버지 서울말",
405,599,condition1,1981,44,한국인이 발음 한 것이 아니라 다양한 나라의 사람들이 발음하는 것 처럼 헷깔리는 발음들이 많았어요. 아무쪼록 도움이 되길 바랍니다. 감사합니다.,1,맥 북 프로,laptop_speaker,1,Female,0,90,0,0,0,10,0,서울말,영어(중급),"아버지 서울말, 어머니 서울말",
406,607,condition1,1984,41,,-1,,laptop_speaker,-1,Female,0,40,0,10,40,0,10,"서울말, 청주 거주 ",영어 (중급) ,아버지 어머니 충청도,
407,605,condition1,1985,40,,-1,,earphone,-1,Female,0,35,0,0,65,0,0,전라도 사투리,영어(중급),어머니 아버지 전라도 사투리,
408,603,condition1,1979,46,,1,,speaker,1,Male,0,50,0,0,40,0,10,경기도,"영어(고급), 중국어/일본어(초급)",어머니 서울말,
409,615,condition1,1984,41,처음 테스트 이후부터 이어폰을 꼈는데요. 발음이 비슷하기 때문에 무조건 이어폰을 끼고 실험하는게 맞는 것 같습니다.,1,,laptop_speaker,0,Female,0,0,10,20,30,30,10,"서울말, 제주 사투리",영어(초중급),제주 사투리,
501,433,condition1,1966,58,,1,,earphone,1,Female,0,4,6,5,15,35,35,서울말,영어(초급),부모님 서울말,
502,440,condition1,1974,50,"발음이, 구분하기 어려운 것들이 있었어요~~~^___^ 잘 마무리해서, 좋은 논문 쓰게 되기를 바래요, 힘내요, 파이팅~~~!!!!",2,일반 유선 이어폰,earphone,1,Male,0,15,5,5,50,15,10,서울말,영어(초급),부모님 강화도,
503,474,condition1,1967,57,,-1,,speaker,1,Male,0,0,10,10,25,50,5,서울말,"영어(중),일본어(초)",서울말,
504,449,condition1,1967,196707,,-1,,laptop_speaker,-1,Female,0,0,30,10,0,40,20,서울말,영어(초급),어머니 서울말,
505,475,condition1,1967,57,반복적으로 듣다보니 소리가 헷갈렸습니다,-1,,earphone,-1,Female,0,5,0,36,0,59,0,서울말,없음,"어머니,아버지  전라북도",
506,487,condition1,1970,54,"특별한 경험이었네-^^ 사랑이, 수고~!!",1,아이폰 이어폰 유선,earphone,-1,Male,0,10,20,15,10,40,5,서울말,영어(중급),"아버지 서울말, 어머니 경북 안동 사투리 조금",
507,486,condition1,1973,51,,-1,,earphone,-1,Female,0,0,20,20,20,40,0,서울말,영어(초급),서울말,
508,501,condition1,1971,53,다음버튼을 누르자 마자 바로 소리가 들리니 누르는 소리에 다음 소리가 잘 안들리며 집중을 못하였음. 한템포 쉰 후에 다음 단어소리가 들렸으면 더 정확하게 들을수있을듯함. ,1,,laptop_speaker,1,Female,0,50,10,0,10,30,0,서울말,없음,"어머니황해도,아버지함경도",
509,499,condition1,1965,-59,,-1,,headphone,-1,Female,0,0,0,20,0,60,20,충청도 사투리,영어(초급),충청도 사투리,
510,535,condition1,1970,55,,-1,,earphone,-1,Female,0,10,40,0,0,40,10,강원 영서 표준말에 가까움,영어 초급,어머니 영서지역 말,
511,572,condition1,1966,59,잘 진행되어 좋은 결과 있길 바랍니다.,1,일반 이어폰,earphone,1,Female,0,0,10,30,10,30,20,전라도 방언,"영어(초급), 일본어(초급)",부모님 전라남도 방언,
512,575,condition1,1968,57,,1,에어팟 2세대,earphone,1,Female,0,0,30,0,0,50,20,서울말,영어(초급),부모님 서울말,
601,434,condition1,1960,64,그냥 감사해요^^=,2,,earphone,1,Male,0,0,10,10,20,30,30,서울말,영어 중급,전라남도 사투리,
602,448,condition1,1963,61,비슷한 종류의 단어만 들으니 정확히 말하는 단어가 무엇인지 구분이 어렵다는 것을 알았다. 문장과 함께 구사된 단어는 알아듣기 쉽구나하는 것을 유추해 생각했습니다.,2,이어폰,laptop_speaker,0,Female,0,0,15,15,20,20,30,서울말,영어(완전초급),어머니서울말,
603,467,condition1,1964,60,,1,britz,speaker,1,Male,0,0,10,10,20,30,30,서울말,영어 중급,전라남도 사투리,
604,541,condition1,1959,66,,-1,,laptop_speaker,-1,Female,0,5,10,10,20,30,25,전라남도 사투리,영어(초급),전라남도 사투리,
605,548,condition1,1959,66,Good project~ for a road to success !,2,Samsung Galaxy s25,speaker,1,Male,0,5,10,30,25,20,10,서울말,영어,"어머니 이북말,아버지 충청도",
606,1001,condition1,1958,67,,-1,NA,NA,-1,Female,0,3,7,10,20,25,35,전라도,"영어(초급), 일본어(초급)",어머니(전라도 고흥),
607,1002,condition1,,,,-1,NA,NA,-1,Female,0,,,,,,,,,,
608,576,condition1,1961,64,,1,,speaker,1,Male,0,0,30,30,10,10,20,서울말,"영어 중급, 프랑스어 고급","아머지 함경도 방안, 어머니 강원도 북부 방언",
609,567,condition1,1961,64,남성보다 여성이 언어 전달력이 좋지 않나 건의해봅니다.,1,컴퓨터 외장 스피커,speaker,1,Female,0,20,10,10,10,20,30,서울말,영어 초급,서울말,
610,581,condition1,1964,61,,1,AKG headphone,headphone,1,Male,0,5,0,20,0,10,65,서울말,영어(중급),서울말,
614,584,condition1,1961,64,,2,vanguard,headphone,1,Female,0,0,0,20,0,0,80,전라도 사투리,영어(고급),부모님 전라남도 사투리,
615,587,condition1,1962,63,,-1,,earphone,-1,Female,0,0,0,50,0,0,50,충청,영어초급,어머니 전라북도,
618,628,condition1,1957,68,발음이 제대로 안들리는 경우가 있었음.,-1,,laptop_speaker,-1,Female,0,0,50,0,0,30,20,전라남도 사투리,없음,전라남도 사투리,
619,630,condition1,1960,65,60대에 부적절했다. 알아 듣기가 힘들었다. 나에게는 부담스러웠다.,0,,laptop_speaker,1,Female,0,0,0,20,0,20,60,전라도 사투리,없음,"아버지 전라도 사투리, 어머니 전라도 사투리",
620,624,condition1,1964,61,ㅍ ㅂ 발음이 생각보다 구분하기 어렵네요.,2,버즈2,earphone,1,Male,0,0,0,10,10,50,30,서울말,일봉어(초급),부모님도 서울 출신,
621,635,condition1,1965,60,"헤드셋을 끼고 집중해서 글을 보면서, 들으면서 세개중 선택을 연속해서 하니 시간이 지날 수록 집중도가 떨어지고 좀 힘들었습니다. 발음들의 차이가 뒤로 갈 수록 헷갈리기 까지 했어요. 수고 많으십니다. 연구에 많은 도움이 되길 바랍니다.",2,JBL헤드셋,headphone,1,Female,0,0,0,20,30,0,50,경상도말,영어 (아주초급),"어머니경상도 대고사투리, 아버지함경남도 사투리",
623,640,condition1,1956,69,,-1,,laptop_speaker,-1,Female,0,0,0,20,0,20,60,서울말,"영어(초급), 일본어(초급)",부모님 황해도,
625,469,condition1,1964,60,,1,britz,speaker,1,Female,0,0,10,10,20,30,30,서울말,영어 중급,어머니 서울말,
701,491,condition1,1955,69,비교적 청각 능력이 뛰어나다고 생각했었는데 조금 헷갈리는 부분이 많았다. 그래도 재미있게 참여했다.,2,,laptop_speaker,1,Female,0,0,0,0,10,20,70,충청도 사투리,영어(초급),어머니 충청도 사투리,
703,512,condition1,1952,72,정확한 발음에 관한 실험인듯 한데 주제가 무엇인지요?,-1,,speaker,-1,Female,0,0,0,10,0,20,70,전라도사투리,영어(중급) 일본어(초급),전라도사투리,
